record - leader,001,008,035,040,System Control Number,245,Title Information,260,Publication Information,310,Current Publication Frequency,336,337,338,653,650,710,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
00704nas  2200217u  4500,9921010860101480,991209q19791996be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002101086LBS01-Aleph^$ $ $a8157564^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921010860101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKleine raak.,Kleine raak.,^$ $ $aZuun$ $ $bKWB. St. Lutgardis$ $ $c[1979]-[1996],Zuun,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,^$2$ $aKWB. St. Lutgardis$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,KWB. St. Lutgardis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00549nas  2200193u  4500,9921065470101480,000107q19771999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002106547LBS01-Aleph^$ $ $a8183076^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921065470101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCCOD kontaktblad.,CCOD kontaktblad.,^$ $ $aAalst$ $ $bCCOD. Aalst$ $ $c[1977]-[1999],Aalst,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$2$ $aCCOD. Aalst$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CCOD. Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00702nas  2200217u  4500,9921101690101480,000119q19781982be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002110169LBS01-Aleph^$ $ $a8200439^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921101690101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aStem der jongeren$ $ $bmaandelijks tijdschrift van de CVP-Jongeren.,Stem der jongeren,,,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP-jongeren$ $ $cGent$ $ $4oth,^$ $1$c1978-[1982]^$ $1$aGent$ $ $bCVP-jongeren$ $ $31978-[1982].,^$ $ $aKADOC$ $ $bphysical$ $ $c202101$ $ $dW$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,maandelijks tijdschrift van de CVP-Jongeren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00707nas  2200229u  4500,9921111130101480,000121q19791980be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002111113LBS01-Aleph^$ $ $a8204407^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9921111130101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aKsalender.,Ksalender.,^$ $ $aPoperinge$ $ $bKSA. Poperinge$ $ $c1979-[1988],Poperinge,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA. Poperinge$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.av,^$ $ $aFrequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
